生活の雑学,タマネギを切る前に冷蔵庫で冷やすと、涙が出にくくなります。
生活の雑学,リンゴと一緒にジャガイモを保存すると、芽が出にくくなります。
生活の雑学,ゆで卵を作る時、お湯に少しお酢を入れると殻がむきやすくなります。
生活の雑学,ハチミツは殺菌力が非常に強く、数千年前のエジプトの遺跡から見つかったものも食べられたそうです。
生活の雑学,イチゴの表面にあるツブツブは種ではなく、一つ一つが「果実」です。
生活の雑学,バナナは実は草の仲間で、木ではありません。
生活の雑学,お札の肖像画は、偽造防止のためにシワの数まで細かく描かれています。
生活の雑学,キリンの首の骨の数は、人間と同じ7個です。
生活の雑学,かき氷のシロップは、実はどれも同じ味で、香料と着色料で違う味に感じさせているだけです。
生活の雑学,チョコレートの原料であるカカオは、昔はお金の代わりに使われていました。
生活の雑学,トウモロコシの粒の数と、ひげの数は必ず同じになります。
生活の雑学,レモンにはビタミンCが多いイメージですが、実はイチゴやピーマンの方が多いです。
生活の雑学,スイカの種を並びやすくするには、皮の縞模様に対して垂直に切ると良いです。
生活の雑学,魚のエイのヒレを加工したものが、おつまみの「エイヒレ」です。
生活の雑学,パンダの指は実は7本あります（竹を掴むための突起を含めて）。
生活の雑学,シャープペンシルの「HB」などの記号は、Hard（硬い）とBlack（黒い）の略です。
生活の雑学,ガムをチョコと一緒に食べると、ガムが溶けてなくなってしまいます。
生活の雑学,世界で一番多い名前は「ムハンマド」だと言われています。
生活の雑学,消しゴムが鉛筆の文字を消せるのは、紙についた黒鉛をゴムが吸着するからです。
生活の雑学,飛行機の窓に小さな穴が開いているのは、気圧を調整するためです。
生活の雑学,コアラは一日のうち約20時間を寝て過ごします。
生活の雑学,カタツムリには歯が約1万本以上あります。
生活の雑学,トマトは昔、観賞用の毒草だと思われていて食べられていませんでした。
生活の雑学,エビの心臓は、頭の中にあります。
生活の雑学,トランプの52枚は、一年間の52週を表していると言われています。
生活の雑学,ショートケーキの「ショート」は、サクサクした（shorten）という意味から来ています。
生活の雑学,キウイフルーツの名前は、ニュージーランドの鳥「キウイ」に似ているから付けられました。
生活の雑学,地球上で一番強靭な生物は「クマムシ」で、宇宙空間でも生きられると言われています。
生活の雑學,炭酸飲料に割り箸を入れると、表面の凹凸に反応して泡がどんどん出てきます。
生活の雑学,大仏の頭にあるブツブツは「螺髪（らほつ）」と呼ばれ、知恵の象徴です。
生活の雑学,マヨネーズは強力な殺菌作用があるため、賞味期限内なら常温でも腐りにくいです。
生活の雑学,人間が一日に出す唾液の量は、大きなペットボトル1本分（約1.5リットル）くらいです。
生活の雑学,あくびがうつるのは、共感能力が高いからだという説があります。
生活の雑学,コンニャクは97％が水分でできています。
生活の雑学,ナスの成分の約90％以上は水分です。
生活の雑学,オリンピックの五輪マークは、世界の五大陸（青・黄・黒・緑・赤）を表しています。
生活の雑学,世界で一番高い山はエベレストですが、地球の中心から一番遠いのはチンボラソ山です。
生活の雑学,救急車のサイレンは、近づく時と遠ざかる時で音が違って聞こえます（ドップラー効果）。
生活の雑学,豆腐の「腐」という字は、中国では「固まる」という意味があります。
生活の雑学,金魚の記憶力は数秒ではなく、実は数ヶ月間は覚えていることが研究でわかっています。
生活の雑学,鏡が左右反対に見えるのは、実は「前後」を反転させているからです。
生活の雑学,蚊が血を吸うのはメスだけで、卵を産むための栄養補給のためです。
生活の雑学,ホッキョクグマの毛は白ではなく、実は透明で中が空洞になっています。
生活の雑学,信号機の青色は、かつて「緑色」と呼ばれていましたが、日本語の「青」の範囲が広いため青になりました。
生活の雑学,ペットボトルの底がデコボコしているのは、炭酸の圧力に耐えるためです。
生活の雑学,ボールペンの先に小さな球が入っているのは、それが回転してインクを出すためです。
生活の雑学,イカには心臓が3つあります。
生活の雑学,タコは脳が9つあります（中心に1つ、足の付け根に8つ）。
生活の雑学,ひらがなの「あ」は、漢字の「安」からできています。
生活の雑学,カタカナの「ア」は、漢字の「阿」の一部からできています。
生活の雑学,1円玉を作るのにかかる費用は、実は約3円くらいです。
生活の雑学,10円玉がピカピカになるのは、レモン汁やタバスコをかけた時です。
生活の雑学,おへそのゴマを無理に取ると、お腹を壊すことがあるので注意が必要です。
生活の雑学,寝ている間に、人間はコップ一杯分くらいの汗をかきます。
生活の雑学,朝起きた時、人間は夜寝る前よりも少しだけ身長が高くなっています。
生活の雑学,キリンは舌が40cm以上あり、耳を掃除することもできます。
生活の雑学,ウサギは自分の糞を食べることで、栄養を再吸収しています。
生活の雑学,ゾウの鼻には骨が一本もありません。すべて筋肉です。
生活の雑学,ダチョウの目は、脳みそよりも大きいです。
生活の雑学,カンガルーの赤ちゃんは、生まれた時は1cmくらいの大きさしかありません。
生活の雑学,カバの汗はピンク色に見えます。これは日焼け止めや殺菌の効果があります。
生活の雑学,フラミンゴがピンク色なのは、食べているエビや藻の色素が原因です。
生活の雑学,ラクダのこぶの中身は水ではなく、脂肪です。
生活の雑学,トカゲの尻尾は切れても生えますが、骨までは再生しません。
生活の雑学,カメレオンの舌は、体長の約2倍の長さまで伸びます。
生活の雑学,ワニは食べた石を胃の中に入れて、浮力を調整したり食べ物を砕いたりします。
生活の雑学,ペンギンは空を飛べませんが、水中では時速30km以上で泳ぐことができます。
生活の雑学,フクロウは首を左右に270度も回すことができます。
生活の雑学,ニワトリは、野生の鳥の中で一番数が多いと言われています。
生活の雑学,ミツバチが一生で作るハチミツの量は、ティースプーン一杯分くらいです。
生活の雑学,アリは自分の体重の約50倍の重さを持ち上げることができます。
生活の雑学,クモの糸は、同じ太さの鋼鉄よりも強いと言われています。
生活の雑学,チョウは足の裏で味を感じています。
生活の雑学,セミの鳴き声は、電話越しには聞こえません（周波数が高すぎるため）。
生活の雑学,ホタルが光るのは、仲間と合図を送ったり敵を驚かせたりするためです。
生活の雑学,桜の木は、散った後にすぐ来年の花の準備を始めています。
生活の雑学,ヒマワリは太陽を追いかけるのは成長期だけで、花が咲くと東を向いたままになります。
生活の雑学,サボテンのトゲは、実は葉っぱが変化したものです。
生活の雑学,竹は植物の中で最も成長が早く、一日に1メートル以上伸びることもあります。
生活の雑学,キノコは植物ではなく、カビや酵母と同じ「菌類」の仲間です。
生活の雑学,海水の塩分濃度は約3.5％です。
生活の雑学,虹が七色に見えるのは日本だけで、国によっては三色や二色に見えると言います。
生活の雑学,ダイヤモンドは、炭（炭素）と同じ成分でできています。
生活の雑学,宇宙では音が伝わりません。空気がないからです。
生活の雑学,太陽の光が地球に届くまでには、約8分20秒かかります。
生活の雑学,月は地球から毎年約3.8cmずつ遠ざかっています。
生活の雑学,地球の重力のせいで、山は1万5000メートル以上高くはなれないと言われています。
生活の雑学,砂漠の砂は丸いため、建設用のコンクリートには使えません。
生活の雑学,雪の結晶はすべて六角形ですが、一つとして同じ形のものはありません。
生活の雑学,雷の温度は太陽の表面よりも熱く、約3万度あります。
生活の雑学,鉛筆1本で、約50kmもの長さの線を引くことができます。
生活の雑学,世界で一番古い会社は、日本の「金剛組」という建設会社です。
生活の雑学,郵便マークの「〒」は、当時の通信省（テイルシンショウ）の「テ」から来ています。
生活の雑学,ジーンズの小さなポケットは、昔、懐中時計を入れるために作られました。
生活の雑学,ボタンの右前と左前があるのは、昔の服の名残です。
生活の雑学,トイレットペーパーのダブルは、実はシングルよりも1枚の厚さが薄く作られています。
生活の雑学,セロハンテープの原料は木材チップ（パルプ）なので、実は天然素材です。
生活の雑学,消しゴムは昔、パンの耳で代用されていました。
生活の雑学,「おやつ」の名前は、昔の時間の数え方「八つ時（午後2時〜4時）」から来ています。
生活の雑学,挨拶の「こんにちは」は、昔は「今日はご機嫌いかがですか」の略でした。
