中1,私,i
中1,あなた,you
中1,これ,this
中1,それ,that
中1,はい,yes
中1,いいえ,no
中1,こんにちは,hello
中1,さようなら,goodbye
中1,学校,school
中1,先生,teacher
中1,生徒,student
中1,本,book
中1,ペン,pen
中1,机,desk
中1,椅子,chair
中1,かばん,bag
中1,ノート,notebook
中1,教室,classroom
中1,友達,friend
中1,名前,name
中1,少年,boy
中1,少女,girl
中1,父,father
中1,母,mother
中1,兄・弟,brother
中1,姉・妹,sister
中1,家族,family
中1,家,house
中1,部屋,room
中1,犬,dog
中1,猫,cat
中1,鳥,bird
中1,りんご,apple
中1,水,water
中1,昼食,lunch
中1,夕食,dinner
中1,朝食,breakfast
中1,ミルク,milk
中1,お茶,tea
中1,テニス,tennis
中1,サッカー,soccer
中1,野球,baseball
中1,ピアノ,piano
中1,ギター,guitar
中1,音楽,music
中1,英語,english
中1,数学,math
中1,科学,science
中1,歴史,history
中1,スポーツ,sport
中1,日曜日,sunday
中1,月曜日,monday
中1,火曜日,tuesday
中1,水曜日,wednesday
中1,木曜日,thursday
中1,金曜日,friday
中1,土曜日,saturday
中1,今日,today
中1,明日,tomorrow
中1,朝,morning
中1,午後,afternoon
中1,夜,night
中1,時間,time
中1,年,year
中1,月,month
中1,週,week
中1,日本,japan
中1,春,spring
中1,夏,summer
中1,秋,fall
中1,冬,winter
中1,大きい,big
中1,小さい,small
中1,新しい,new
中1,古い,old
中1,良い,good
中1,忙しい,busy
中1,幸せな,happy
中1,美しい,beautiful
中1,行く,go
中1,来る,come
中1,食べる,eat
中1,飲む,drink
中1,見る,see
中1,聞く,listen
中1,話す,speak
中1,読む,read
中1,書く,write
中1,勉強する,study
中1,練習する,practice
中1,遊ぶ,play
中1,走る,run
中1,泳ぐ,swim
中1,歌う,sing
中1,作る,make
中1,持っている,have
中1,好き,like
中1,知っている,know
中1,欲しい,want
中1,助ける,help
